company,zone,circle,division,subdivision,temporaryAccountId,tempDateOfRegistration,parentAccountId,childAccountCount,dateOfRegistration,plotAreaSqft,noOfFloors,dateOfService,regionType,loadKW,tariff,flag,predicted_flag
BESCOM,BMAZ NORTH,BANGALORE EAST,SHIVAJINAGAR,E9 NAGAWARA, , ,1326377022,10,24-06-2026,NA,NA,,GBA,20,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE WEST,RAJAJINAGAR,N8 NAGARABHAVI, , ,5841550222,7,24-06-2026,NA,NA,,GBA,18,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,CTAZ,TUMKUR,MADHUGIRI,SIRA URBAN, , ,2173472154,2,24-06-2026,800,1,,ULB,2,LT-1,Eligible under G.O-1,Eligible under G.O-1
BESCOM,BMAZ SOUTH,BANGALORE WEST,KENGERI,K3 KAGGALIPURA , , ,9565704266,3,24-06-2026,NA,NA,,RLB,9,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE WEST,RAJARAJESHWARINAGARA,W6 BYATARAYANAPURA, , ,3426842157,12,24-06-2026,NA,NA,,GBA,24,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE WEST,KENGERI,K3 KAGGALIPURA , , ,5272829880,3,24-06-2026,NA,NA,,RLB,7,LT-1,New Registration & Service Pending,New Registration & Service Pending
HESCOM,BELGAUM,BAGALKOT,JAMKHANDI,RABKAVI SUB-DIVISION, , ,6005215531,1,24-06-2026,NA,NA,,ULB,1,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE EAST,SHIVAJINAGAR,E8 BANASWADI, , ,9399270906,1,24-06-2026,NA,NA,,GBA,8,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,CTAZ,DAVANAGERE,HARIHARA,HARIHARA, , ,4740545926,2,24-06-2026,111,0,,ULB,3,LT-1,Eligible under G.O-1,Eligible under G.O-1
BESCOM,BMAZ NORTH,BANGALORE NORTH,JALAHALLI,N9 SOLADEVANAHALLI, , ,6260797664,4,24-06-2026,NA,NA,,RLB,8,LT-1,New Registration & Service Pending,New Registration & Service Pending
CESC,MYSORE,MYSORE O&M CIRCLE,VV MOHALLA DIVISION,HOOTGALLI SUB DIVISION, , ,9384749837,3,24-06-2026,1522,4,,ULB,10,LT-1,Eligible under G.O-2,Eligible under G.O-2
BESCOM,CTAZ,TUMKUR,TUMKUR,TUMKUR URBAN SUB DIVISION1, , ,9015206115,5,24-06-2026,NA,NA,,ULB,7,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE WEST,RAJARAJESHWARINAGARA,W6 BYATARAYANAPURA, , ,1974634026,6,24-06-2026,NA,NA,,GBA,12,LT-1,New Registration & Service Pending,New Registration & Service Pending
HESCOM,BELGAUM,BIJAPUR,BIJAPUR,CITY SUB-DIVISION-2 BIJAPUR, , ,7887282406,1,24-06-2026,NA,NA,,ULB,1,LT-1,New Registration & Service Pending,New Registration & Service Pending
MESCOM,MANGALURU ZONE,SHIVAMMOGA CIRCLE,SHIVAMMOGA DIVISION,SHIVAMMOGA CITY SUBDIVISION-3, , ,4013700093,1,24-06-2026,NA,NA,,ULB,3,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,KORAMANGALA,S17 HAL, , ,3466285473,7,24-06-2026,NA,NA,,GBA,9,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE EAST,SHIVAJINAGAR,E8 BANASWADI, , ,651783794,5,24-06-2026,NA,NA,,GBA,20,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,KORAMANGALA,S17 HAL, , ,1039764267,7,24-06-2026,NA,NA,,GBA,9,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE WEST,KENGERI,K3 KAGGALIPURA , , ,2798014346,10,24-06-2026,NA,NA,,RLB,22,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,KORAMANGALA,S17 HAL, , ,8991176060,7,24-06-2026,NA,NA,,GBA,9,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ NORTH,BANGALORE NORTH,HEBBALA,C8 SAHAKARANAGARA, , ,2001079986,4,24-06-2026,NA,NA,,GBA,36,LT-1,New Registration & Service Pending,New Registration & Service Pending
BESCOM,BMAZ SOUTH,BANGALORE SOUTH,HSR LAYOUT,S10 BANNERGHATTA , , ,4801266122,1,24-06-2026,NA,NA,,ULB,4,LT-1,New Registration & Service Pending,New Registration & Service Pending
MESCOM,MANGALURU ZONE,SHIVAMMOGA CIRCLE,SHIVAMMOGA DIVISION,SHIVAMMOGA CITY SUBDIVISION-1, , ,5122738600,1,24-06-2026,NA,NA,,ULB,3,LT-1,New Registration & Service Pending,New Registration & Service Pending
GESCOM,BELLARY,BELLARY,CSC BELLARY,BELLARY CSD-2, , ,6591656227,1,24-06-2026,NA,NA,,ULB,3,LT-1,New Registration & Service Pending,New Registration & Service Pending
